Issue,Year,Forecast,Lower_Bound,Upper_Bound,Change,Change_Pct,Trend,Forecast_Formatted
Women's Issues,2024,2.850078223250656,2.521701221795768,3.1797003143931906,,,Baseline,2.85 per 1000
Women's Issues,2025,2.610049405131901,2.280668400322088,2.935340924187269,-0.2400288181187551,-8.421832641666596,Significant Decrease,2.61 per 1000
Women's Issues,2026,2.851686077890106,2.517779299760849,3.200899069498922,0.24163667275820488,9.257934822348451,Significant Increase,2.85 per 1000
Women's Issues,2027,3.076254100409618,2.7155216319637003,3.4017070036222905,0.22456802251951213,7.874920884898545,Significant Increase,3.08 per 1000
Women's Issues,2028,3.2836124857551456,2.966405220674224,3.618326356587268,0.20735838534552764,6.740613050070111,Significant Increase,3.28 per 1000
Women's Issues,2029,3.04358366763652,2.710647970343173,3.39067252827359,-0.24002881811862542,-7.309900883856124,Significant Decrease,3.04 per 1000
Women's Issues,2030,3.2852203403933684,2.951028527206577,3.617011212624995,0.2416366727568482,7.939215712262312,Significant Increase,3.29 per 1000
